"","Country","Technology","h","mean_ut","sd_ut","UtCite"
"167","El Salvador","Oil",8760,0.602486047691527,1.11022302462516e-16,"WRI"
"168","Equatorial Guinea","Gas",8760,NA,NA,"WRI"
"169","Equatorial Guinea","Hydro",8760,NA,NA,"WRI"
"170","Eritrea","Oil",8760,0.315407556273679,5.55111512312578e-17,"WRI"
"171","Estonia","Gas",8760,0.0186210693351469,0,"WRI"
"172","Estonia","Oil",8760,0.00266630950520736,0,"WRI"
"173","Estonia","Wind",8760,0.248110009677934,2.99794480833239e-17,"WRI"
"174","Ethiopia","Geothermal",8760,0.297116407080753,NA,"WRI"
"175","Ethiopia","Hydro",8760,0.275312787663688,3.04047097224406e-17,"WRI"
"176","Ethiopia","Wind",8760,0.219357149252395,NA,"WRI"
"177","Fiji","Biomass",8760,NA,NA,"WRI"
"178","Fiji","Hydro",8760,NA,NA,"WRI"
"179","Fiji","Oil",8760,NA,NA,"WRI"
"180","Fiji","Wind",8760,NA,NA,"WRI"
"181","Finland","Biomass",8760,0.592545143374774,4.76504988399769e-17,"WRI"
"182","Finland","Coal",8760,1.00678116267975,1.57009245868378e-16,"WRI"
"183","Finland","Gas",8760,0.327556333637811,3.67171752872013e-17,"WRI"
"184","Finland","Hydro",8760,0.641953179901684,7.42114552902064e-17,"WRI"
"185","Finland","Nuclear",8760,0.978118031220134,1.57009245868378e-16,"WRI"
"186","Finland","Oil",8760,0.0312371728205226,1.90029435765254e-18,"WRI"
"187","Finland","Other",8760,0.117185921525842,8.01234452659818e-18,"WRI"
"188","Finland","Wind",8760,1.64973711506134,1.77130318239064e-16,"WRI"
"189","France","Biomass",8760,0.448497920836228,4.41532870807236e-17,"WRI"
"190","France","Coal",8760,0.383625506913178,4.80740671595891e-17,"WRI"
"191","France","Gas",8760,0.290415336337347,3.92523114670944e-17,"WRI"
"192","France","Geothermal",8760,0,NA,"WRI"
"193","France","Hydro",8760,0.401625482549415,3.90684588804072e-17,"WRI"
"194","France","Nuclear",8760,0.789257074081387,3.70074341541719e-17,"WRI"
"195","France","Oil",8760,0.0469836790249872,6.93889390390723e-18,"WRI"
"196","France","Solar",8760,0.188429570281228,2.33050124809182e-17,"WRI"
"197","France","Wave and Tidal",8760,NA,NA,"WRI"
"198","France","Wind",8760,0.217272854832971,2.50399120007652e-17,"WRI"
"199","French Guiana","Biomass",8760,NA,NA,"WRI"
"200","French Guiana","Gas",8760,NA,NA,"WRI"
"201","French Guiana","Hydro",8760,NA,NA,"WRI"
"202","French Guiana","Oil",8760,NA,NA,"WRI"
"203","Gabon","Gas",8760,0.723585590511837,0,"WRI"
"204","Gabon","Hydro",8760,0.317319666634735,3.92523114670944e-17,"WRI"
"205","Gabon","Oil",8760,4.70310802575448,NA,"WRI"
"206","Gambia, The","Oil",8760,NA,NA,"WRI"
"207","Georgia","Gas",8760,0.185936073059361,1.96261557335472e-17,"WRI"
"208","Georgia","Hydro",8760,0.368592243846301,3.5108334685767e-17,"WRI"
"209","Germany","Biomass",8760,2.98922211123699,3.14018491736755e-16,"WRI"
"210","Germany","Coal",8760,0.68080620514959,8.67485898782126e-17,"WRI"
"211","Germany","Gas",8760,0.290969084990308,3.13250048199951e-17,"WRI"
"212","Germany","Hydro",8760,0.290919182504749,3.2479590350835e-17,"WRI"
"213","Germany","Nuclear",8760,0.992550835925866,4.53246651836839e-17,"WRI"
"214","Germany","Oil",8760,0.226572869742581,1.6369345451894e-17,"WRI"
"215","Germany","Other",8760,0.30510777257149,3.5108334685767e-17,"WRI"
"216","Germany","Solar",8760,1.05728769115821,1.23545887471395e-16,"WRI"
"217","Germany","Waste",8760,0.970190304735891,9.44066268266963e-17,"WRI"
"218","Germany","Wind",8760,1.29415581247715,1.57009245868378e-16,"WRI"
"219","Ghana","Gas",8760,NA,NA,"WRI"
"220","Ghana","Hydro",8760,NA,NA,"WRI"
"221","Greece","Coal",8760,0.588396615793876,0,"WRI"
"222","Greece","Gas",8760,0.148610179007716,1.44948766286094e-17,"WRI"
"223","Greece","Hydro",8760,0.150218006857793,1.50525743132968e-17,"WRI"
"224","Greece","Oil",8760,1.2632269707161,0,"WRI"
"225","Greece","Solar",8760,3.98597341002548,4.44089209850063e-16,"WRI"
"226","Greece","Waste",8760,0.475646879756469,NA,"WRI"
"227","Greece","Wind",8760,1.95914734338771,1.63990808904834e-16,"WRI"
"228","Guatemala","Biomass",8760,0.29261930073326,2.77555756156289e-17,"WRI"
"229","Guatemala","Coal",8760,0.370076880229954,2.77555756156289e-17,"WRI"
"230","Guatemala","Geothermal",8760,0.524095669739098,0,"WRI"
"231","Guatemala","Hydro",8760,0.549250354837482,7.43332132970827e-17,"WRI"
"232","Guatemala","Oil",8760,0.175516310479995,1.30841038223648e-17,"WRI"
"233","Guatemala","Solar",8760,0.0094010206822455,0,"WRI"
"234","Guatemala","Waste",8760,0,0,"WRI"
"235","Guatemala","Wind",8760,0,0,"WRI"
"236","Guinea","Hydro",8760,NA,NA,"WRI"
"237","Guinea","Oil",8760,NA,NA,"WRI"
"238","Guinea-Bissau","Oil",8760,NA,NA,"WRI"
"239","Guyana","Biomass",8760,NA,NA,"WRI"
"240","Guyana","Oil",8760,NA,NA,"WRI"
"241","Honduras","Biomass",8760,1.19406392694064,1.28197512425571e-16,"WRI"
"242","Honduras","Gas",8760,0,NA,"WRI"
"243","Honduras","Geothermal",8760,0,NA,"WRI"
